ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
DLTR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DPZ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DASH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DHI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DTE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DUK,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ETN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EBAY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ECL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EIX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ELV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EME,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EMR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ETR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EOG,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EPAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EQT,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EFX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EQIX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EQR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ERIE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ESS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EVRG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EXC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EXE,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EXPE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EXPD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EXR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XOM,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FFIV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FDS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FICO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
